00405512,交通银行
00601428,交通银行
0532,招商银行
0571,招商银行
103,农业银行
303,光大银行
402658,招商银行
405512,交通银行
410062,招商银行
415599,民生银行
421349,建设银行
421393,民生银行
421865,民生银行
427570,民生银行
427571,民生银行
433670,中信银行
433671,中信银行
433680,中信银行
434061,建设银行
434062,建设银行
436742,建设银行
438588,兴业银行
438589,兴业银行
438600,上海银行
442729,中信银行
442730,中信银行
456351,中国银行
468203,招商银行
472067,民生银行
472068,民生银行
512425,招商银行
524011,招商银行
524094,建设银行
526410,建设银行
552245,建设银行
589970,建设银行
601382,中国银行
601428,交通银行
602907,平安银行
620013,交通银行香港分行
620048,中国银行
620058,工商银行
620059,农业银行
620060,建设银行
620061,中国银行
620062,邮储银行
620082,中信银行
620085,光大银行
620200,工商银行
620218,中国银行
620302,工商银行
620402,工商银行
620403,工商银行
620404,工商银行
620405,工商银行
620406,工商银行
620407,工商银行
620408,工商银行
620409,工商银行
620410,工商银行
620411,工商银行
620412,工商银行
620502,工商银行
620503,工商银行
620506,工商银行
620507,工商银行
620512,工商银行
620516,工商银行
620518,光大银行
620529,邮政储蓄银行
620602,工商银行
620603,工商银行
620604,工商银行
620607,工商银行
620609,工商银行
620611,工商银行
620612,工商银行
620704,工商银行
620705,工商银行
620706,工商银行
620707,工商银行
620708,工商银行
620709,工商银行
620710,工商银行
620711,工商银行
620712,工商银行
620713,工商银行
620714,工商银行
620715,工商银行
620802,工商银行
620809,工商银行
620902,工商银行
620903,工商银行
620904,工商银行
620905,工商银行
621001,工商银行
621002,交通银行香港分行
621041,中国银行(香港)
621069,交通银行香港分行
621080,建设银行
621082,建设银行
621083,中国建设银行亚洲股份有限公司
621084,中国建设银行澳门股份有限公司
621095,邮储银行
621096,邮储银行
621098,邮储银行
621102,工商银行
621103,工商银行
621105,工商银行
621106,工商银行
621107,工商银行
621202,工商银行
621203,工商银行
621204,工商银行
621205,工商银行
621206,工商银行
621207,工商银行
621208,工商银行
621209,工商银行
621210,工商银行
621211,工商银行
621212,中国银行
621222,华夏银行
621225,工商银行
621226,工商银行
621227,工商银行
621231,中国银行马尼拉分行
621240,中国工商银行(印尼)
621248,中国银行雅加达分行
621256,中国银行
621281,工商银行
621282,农业银行
621283,中国银行
621284,建设银行
621285,邮储银行
621286,招商银行
621288,工商银行
621299,招商银行香港分行
621300,中国工商银行巴黎分行
621302,工商银行
621303,工商银行
621304,工商银行
621305,工商银行
621306,工商银行
621307,工商银行
621309,工商银行
621311,工商银行
621312,工商银行
621313,工商银行
621314,工商银行
621315,工商银行
621317,工商银行
621402,工商银行
621404,工商银行
621405,工商银行
621406,工商银行
621407,工商银行
621408,工商银行
621409,工商银行
621410,工商银行
621502,工商银行
621505,工商银行
